Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-07-01 AM,2019_6_16,11-44-14 AM,5404110,0.32295,268.04,105.734,51.343,20161.6,0.126,15713.1,1.28055,100.267,0.63923,0.19351,0.06412
10-07-01 AM,2019_6_17,11-44-17 AM,6445110,0.32608,306.407,105.217,50.356,21034.5,0.131,16194.1,1.29865,150.633,0.63796,0.20142,0.06683
10-07-01 AM,2019_6_18,11-44-21 AM,7758440,0.3406,347.14,105.509,46.192,22349.6,0.14,16051,1.38565,171.5,0.65032,0.2128,0.06762
10-07-01 AM,2019_6_19,11-52-15 AM,9473040,0.34556,351.037,104.326,55.046,26985.9,0.169,22063.6,1.22007,178.956,0.643,0.21637,0.07167
10-07-01 AM,2019_6_20,11-52-19 AM,11950300,0.36658,400.911,103.578,55.194,29807.8,0.186,24320.7,1.21788,217.661,0.65473,0.2332,0.07315
10-07-01 AM,2019_6_21,11-52-23 AM,15343100,0.34834,410.597,105.034,59.41,37367.8,0.234,31875.7,1.16165,206.905,0.64539,0.20443,0.06623
10-07-01 AM,2019_6_22,11-52-27 AM,19951900,0.35392,462.104,105.475,60.423,43176.1,0.27,36865.7,1.14982,229.191,0.6439,0.19872,0.06558
10-07-01 AM,2019_6_23,11-52-31 AM,26098700,0.37495,488.426,103.98,60.722,53434.3,0.334,45533.8,1.14644,200.294,0.64848,0.22494,0.07281
10-07-01 AM,2019_6_24,10-50-58 AM,27528400,0.42241,481.422,102.437,49.652,57181.4,0.357,42316.3,1.3121,224.78,0.67825,0.30945,0.08218
10-07-01 AM,2019_6_25,10-50-17 AM,37886700,0.35773,545.004,105.139,62.489,69516.4,0.434,59511.3,1.12748,223.635,0.6435,0.19462,0.06547
